Beat,Scene,Source Detail,Ambient Dialogue or Behavior,Player Expression,Source Locator
1,Mountain at dawn,"Red railway car, barn, wind-bent wheat, school bus below, steel-toed boots by the back door.",Ambient: distant bus brakes; wind through sage; Abel testing the weather without speaking.,"Mara can look toward The Watcher, the bus, or the yard; first attention choice.","Prologue, PDF pp. 10–11."
2,Railcar outlook,"Rusted roof ribs, old ladder, chickweed/thistle near buried-object site.",Mara remembers pretending the car could move; no spoken exposition.,Look / climb down / mark a distant smoke thread.,"Ch. 1, PDF pp. 19–20."
3,Morning choice,"Animal troughs, pigs, goat chewing cloth, tools laid beside boots.",Nora’s voice from below: “Road’s clear now. Won’t be by noon.”,"Feed animals, inspect a broken part, or linger near kitchen voices.","Ch. 1, PDF pp. 15–17."
4,Breakfast table,Red-oak table; seven-grain pancakes; honey/molasses; milk absent or hidden; lime-green phone nearby.,Abel jokes about a new town ordinance before assigning work; Ruth laughs too quickly.,"Answer, joke, remain silent, or ask about the phone call.",Ch. 1 and Ch. 7.
5,Walk to salvage yard,"Upper/lower yard layers, black ice, sorted metal piles, smoke from wire insulation.","Jonah’s old choir track leaks from a workshop radio, nearly lost under engines.","Follow Abel, stop to examine wear, or greet Eliza carrying a ledger.",Chs. 5–6.
6,First tool lesson,Aluminum vs steel; gloves and hard hat visible; Abel removes one ‘to save time.’,Abel: “Feel the weight before you call it.”,"Use protective gear, comply, or ask why the rule changed.","Ch. 6, PDF pp. 58–60."
7,Hairline crack,"Cracked hub/axle, grease, chalk mark, old service manual, plausible tool spread.",Mara: “It was moving before we touched it.” Abel dismisses the delay.,"Loosen, inspect, improvise, or call Jonah/Caleb for advice.",Source logic: Chs. 6 and 14.
8,Pressure to keep moving,"Sun position, clock, running loader, Abel scanning sky as if time stalks him.","Abel repeats the deadline, each version shorter and more absolute.","Continue, mark the crack, photograph it, or stop the job.","Ch. 6, PDF pp. 59–60."
9,Suspended load shifts,"Hydraulic groan, chain tension, shadow crossing Mara’s hands, unsecured pallet.","No warning music; machinery becomes rhythm, then silence.","Stabilize, cut power, pull Eli clear, or shout for Abel.",Chs. 6–7, 14–16.
10,Emergency response,"Blood on linoleum path, work shirt used as pressure, vehicle keys visible.",Abel says Mercy House; Caleb’s radio voice asks whether to call county rescue.,"Carry home, call help, or split tasks.","Chs. 6–7, 16."
11,Mercy House intake,"Birch cabinets, electric scale, calendula/lobelia, Rescue Remedy, handwritten batch pad.",Ruth switches from breathy welcome to clipped commands.,Report exactly what happened or soften the unsafe order.,"Chs. 2, 6–7."
12,Treatment / clinic choice,Lime-green phone among cohosh/skullcap jars; clinic number on a paper; county car audible outside.,"Ruth: “Tell me what you gave him, not what you meant to give him.”","Prepare remedy, call clinic, ask patient, or document vitals.",Ch. 2 and Ch. 21.
13,Conflicting accounts,Eli says load slipped; Abel says Mara startled him; tool marks support a third sequence.,Eliza quietly asks who moved the chalk mark.,Record Saw / Heard / Concluded separately.,Ch. 7 memory reconstruction.
14,Supply run,"Tackle box, empty herb jars, grocery list, slide-bolt lock on hardware shelf request.",Nora offers a ride and insists on seatbelts.,"Take Nora, ride with Caleb, or remain home.","Chs. 2, 4, 13."
