Cue ID,Cue,First Use,Source / Place,Narrative Function,Mix Note,Status
S001,Wind through open railcar,0:00,Peak / Red Car,world + memory,foreground before image,Draft
S002,School bus air brake,0:03,highway below,outside world,"distant, directional",Draft
S003,Honey spoon / plate,0:26,breakfast table,routine,"close, dry",Draft
S004,Lime-green phone ring,0:30,kitchen,outside call,one ring only,Draft
S005,Ratchet / chalk scrape,0:54,hub repair,interaction,precise sync,Draft
S006,Chain tension rise,1:10,lift lane,hazard,must read above music,Draft
S007,Engine cut to silence,1:17,yard,consequence,hard stop,Draft
S008,Mortar / glass / rotary dial,1:31,Mercy House,care + outside option,layered but clear,Draft
S009,CB static code burst,2:08,county road,mystery,non-musical pattern,Draft
S010,Piano through opera wall,2:12,Cedar Gate,world expansion,distant source,Draft
S011,Fork scrape after joke,2:35,supper,social rupture,isolated transient,Draft
S012,Pencil / house settling / wind,2:48,night journal,reflection,no score at first,Draft
