Object,Context,Source Detail,Game Use,Source Locator
Blue garbage can and frozen vegetables,Emergency improvisation,Burn cooling attempt becomes peas-and-carrots soup.,Non-glamorous emergency problem-solving object chain.,Ch. 7.
Gray sweatshirt with glitter Santa,Performance costume,Compromise costume replaces expected chiffon/ribbon.,"Costume choice affects movement and social reading, not morality score.",Ch. 8.
Black binder and Annie costumes,Theater,Memorized lines; orphan dress; red velvet and lace dresses.,Performance loadout and confidence mask.,Ch. 9.
Fifty-caliber rifle on tripod,Preparedness,"Military-green, kitchen-table assembly, long-range ‘defense.’",Distant background threat object; not a power fantasy weapon pickup.,Ch. 9.
Television / The Honeymooners,Media / Y2K,New cable TV remains on past midnight; Ralph and Alice argue.,Environmental proof of failed prediction.,Ch. 9.
VCR and red/white cables,Domestic technology,Disconnected cables trigger control conflict before departure.,Small technical task with emotional stakes.,Ch. 16.
Leather Aussie hat,Silas,Hides surgery scars; falls on road after motorcycle crash.,Recognizable silhouette and accident evidence.,Chs. 15–16.
The Shear,Industrial machine,"Three-ton iron scissors, thick blades, piston, belt and motor, delayed stop.","Major hazard with authentic sound, inertia, and safety choices.",Ch. 15.
Forklift and cheese pallet,Construction,Improvised elevation platform contested as dangerous/unprofessional.,Visible contrast between expedience and proper equipment.,Ch. 14.
Slide-bolt lock and long screws,Safety / bedroom,Mara buys lock; Silas selects proper grabbers and installs it.,Player safety upgrade carrying relational ambiguity.,Ch. 13.
ACT study guide and algebra textbook,Study,"Glossy test guide, unfamiliar symbols, eighty-mile book trip.",Study system uses page wear and mastered concepts.,Ch. 14.
Pink bubble sheet,Academic procedure,First standardized test interface.,Tutorial for invisible institutional conventions.,Ch. 15.
Blue exam book,Academic procedure,Blank essay booklet everyone else produces automatically.,Preparedness item in campus loop.,Ch. 18.
Red pain pills,Medicine,First experience of ordinary analgesic relief.,Worldview evidence object; no simplistic ‘medicine good’ stat.,Ch. 21.
Diet Coke and soap,Roommate culture,"Objects initially read as moral or frivolous, later ordinary.",Domestic normalization through repeated interaction.,"Chs. 17, 21."
Stokes apron and bakery doughnuts,Town work,Apron signifies independent wage; leftover doughnuts carry belonging.,Work uniform and social reward.,Ch. 19.
CB radio and trucker slang,Travel,"White Pete, reefer, four-wheeler, mile markers, static banter.",Road communication and cooperative events.,Ch. 12.
Great Gate nameplate,Cambridge belonging,Mara’s name painted on her room door opposite Trinity gate.,Physical proof of institutional belonging.,Ch. 30.
Air mattress and communal shower,Harvard visit,Parents share tiny dorm; father takes bed and walks upstairs in towel.,Claustrophobic home/campus collision staging.,Ch. 36.
Camera at Niagara Falls,Travel / memory,Father asks for specific angles and happy photographs.,"Photo as contested memory evidence, not generic collectible.",Ch. 36.
