Chapter,Title,Source Situation / Theme,Design Extraction,Game Transformation,Primary System,Key Location,Key Characters,Act,Guardrail
22,What We Whispered and What We Screamed,Shawn attacks Tara in front of Charles; shame drives her to deny what happened and the relationship collapses.,Witnessing does not automatically produce disclosure or rescue. Shame can make a person protect the very story that harms them.,"Design a one-time safety-centered scene where the player can escape, call for help, minimize, disclose, or say nothing, with no perfect outcome.",Dynamic Relationships,Family Compound,"Mara, Silas, Caleb, Ruth",Act IV - Competing Truths,"No repeatable abuse, spectacle, QTE mastery, or reward for enduring harm."
23,I'm from Idaho,"Tara begins honest meetings with a bishop, faces dental and financial crisis, receives help, and becomes less alone.","Institutions become usable through specific people, forms, and acts of trust—not through abstract conversion.","Create a confidential support chain involving Rev. Hale, a grant application, clinic care, and choices about how much to disclose.",Institutional Navigation,College City + Meetinghouse,"Mara, Rev. Hale, Lena",Act IV - Competing Truths,Confidentiality has limits and must be explained clearly to the player.
24,"A Knight, Errant",Psychology and historical research lead Tara to question her father's mental health story and the version of Ruby Ridge she inherited; she experiments with ordinary life.,Research can reframe a family legend without reducing a person to a diagnosis.,"Use an archive investigation that compares lectures, newspapers, public records, and family testimony while preserving uncertainty.",Study & Research,College Archive + Basin Records,"Mara, Dr. Kline, Abel, Caleb",Act IV - Competing Truths,"Do not diagnose Abel as a gameplay fact; focus on patterns, evidence, and impact."
25,The Work of Sulphur,Tara's father is catastrophically burned in a fuel explosion and the family cares for him at home as he slowly survives.,A crisis can show extraordinary love and competence while exposing the cost of refusing help.,"Create a large, non-repeatable industrial emergency followed by days of resource management, caregiving, and difficult medical choices.",Care & Healing,Industrial Work Site + Herb House,"Mara, Abel, Ruth, Lena",Act IV - Competing Truths,"No graphic fetish, miracle score, or implication that suffering proves faith."
26,Waiting for Moving Water,During recovery Tara speaks more openly with her father; Shawn becomes engaged to Emily; Tara tries to warn her and ends a relationship she cannot enter honestly.,"A temporary opening can coexist with a repeating danger. Telling the truth may fail, but silence also has a cost.",Pair bedside caregiving conversations with a private warning mission and an intimacy choice shaped by Mara's ability to disclose.,Conversation & Insight,Family Compound + Ridge Homes,"Mara, Abel, Silas, Eliza, Caleb",Act IV - Competing Truths,The person being warned retains agency; the player cannot 'save' them through one perfect line.
27,If I Were a Woman,"Tara changes from music to history, politics, and geography, tells a professor about her background, and is encouraged toward Cambridge.",Choosing what to study is also choosing what kinds of questions one is permitted to ask.,Let the player reshape Mara's capability tree through disciplines and mentors rather than fixed gendered classes.,Progression & Capability,College City,"Mara, Dr. Kline, Tess",Act IV - Competing Truths,Avoid treating artistic study as lesser than academic study; both remain valid paths.
28,Pygmalion,"At Cambridge, Tara feels out of place until a mentor recognizes that skills from her past can be strengths rather than signs of inferiority.","Mentorship can change self-perception by accurately naming ability, not by inventing a new person.","Use a study-abroad hub where practical traversal, close observation, and archival reasoning unexpectedly matter.",Mentorship & Self-Worth,Overseas Hub,"Mara, Dr. Kline, peers",Act IV - Competing Truths,Do not turn elite education into a magical cure; belonging remains contested.
29,Graduation,"Tara wins a Cambridge scholarship, graduates from BYU, faces family resentment over how she tells her story, and leaves for England.",Achievement can increase both freedom and family tension; public storytelling raises questions of ownership.,"Combine application, interview, ceremony, family visit, and airport departure into a threshold chapter with several truth-telling choices.",Boundary & Identity,College City + Airport / Road,"Mara, Dr. Kline, Abel, Ruth",Act IV - Competing Truths,Do not imply academic recognition resolves trauma or family conflict.
30,Hand of the Almighty,"At Cambridge, coffee, vaccination, and feminist thought become signs that Tara is choosing her own body and intellectual life.",Transformation may appear through ordinary acts that would once have felt forbidden.,"Let optional daily choices—health care, reading groups, food, friendship—gradually alter worldview clarity and social access.",Boundary & Identity,Overseas Hub,"Mara, Dr. Kline, peers",Act IV - Competing Truths,Do not treat any single lifestyle choice as a morality badge.
31,Tragedy Then Farce,A tea-set moment helps Tara see that Audrey may share her history; Audrey later confirms abuse and asks Tara to stand with her.,"An ordinary object can unlock a buried pattern, and shared memory can create a fragile alliance.",Use an object-triggered memory scene followed by delayed correspondence that asks the player to commit to a joint account.,Evidence & Memory,Eliza's Home + Overseas Hub,"Mara, Eliza",Act IV - Competing Truths,Shared memory remains partial; one sibling's account does not automatically overwrite another's.
32,A Brawling Woman in a Wide House,A grandmother is dying; the family business has grown; the mother's confidence rises while the father's grief and anger deepen.,Economic power can rearrange a household without automatically producing truth or safety.,"Return the player to a transformed compound with employees, schedules, money, caregiving, and new conflicts over authority.",Living World / Economy,Family Compound + Herb House,"Mara, Ruth, Abel, Nora",Act IV - Competing Truths,Growth is not shown as proof that the family's worldview is correct.
33,Sorcery of Physics,"Audrey asks Tara not to leave; Tara returns to Cambridge, builds a scholarly and romantic life, while Shawn threatens Audrey.",The player may be unable to protect another person and preserve their own fragile escape at the same time.,"Create simultaneous objectives in two regions, using messages and incomplete information to force a boundary decision.",Boundary & Identity,Family Compound + Overseas Hub,"Mara, Eliza, Silas, Caleb",Act IV - Competing Truths,Do not frame self-preservation as selfish failure or staying as heroic certainty.
34,The Substance of Things,"Tara tells her parents about Shawn's abuse; they demand proof and summon him; a bloody knife and a dead dog reveal danger, and she retracts under pressure.","Truth-telling does not guarantee belief, and evidence may be weaponized inside a power structure.","Design a controlled high-stakes dialogue with readable exits, a safety pause, and outcomes based on preparation and allies—not a perfect speech.",Conversation & Insight,Family Compound,"Mara, Abel, Ruth, Silas, Eliza",Act IV - Competing Truths,Mandatory sensitivity review; no graphic violence; never trap the player without an exit or content controls.
35,West of the Sun,"Back at Cambridge, threats and family denial make Tara distrust her own memories; Audrey withdraws support.",Coordinated denial can damage confidence in memory even when external evidence remains.,Let the journal retain prior observations while conclusions become unstable; trusted witnesses can validate facts without dictating meaning.,Evidence & Memory,Overseas Hub,"Mara, Caleb, Eliza, Silas",Act IV - Competing Truths,Do not use 'unreliable narrator' as a twist that erases abuse.
