card_id,family,title,design_statement,gameplay_hook,pressure_or_tradeoff,canonical_anchor,visual_asset
CHAR-01,Character,Mara Vale,"Practical intelligence meets conflicting explanations.","Notice patterns, work with tools, ask questions, revise conclusions.","Belonging and independence can both carry real cost.","source/canon.csv; Character Bible","assets/gameplay-keyframes/01-ridge-dawn.png"
CHAR-02,Character,Abel Vale,"A gifted mechanic whose certainty can become control.","Advanced repair, machinery access, preparation knowledge, restricted spaces.","Approval can increase risk and reduce room for dissent.","source/canon.csv; Character Bible","assets/gameplay-keyframes/03-hairline-crack.png"
CHAR-03,Character,Ruth Vale,"A healer and entrepreneur who can be decisive in crisis and evasive at home.","Herbal preparation, first aid, community visitors, Mercy House access.","Care and denial can exist in the same relationship.","source/canon.csv; Character Bible","assets/gameplay-keyframes/05-mercy-house.png"
CHAR-04,Character,Jonah Vale,"Order, music, study, and the first credible path outward.","Teaching, library access, academic help, patient problem solving.","Leaving can look like betrayal to people who love him.","source/canon.csv; Character Bible",""
CHAR-05,Character,Silas Vale,"Skill and charm sit beside volatility and control.","Climbing, difficult routes, risky work, social access.","Intimacy never guarantees safety or accountability.","source/canon.csv; Character Bible",""
CHAR-06,Character,Eliza Vale,"She notices contradictions before she is ready to act on them.","Household memory, logistics, quiet corroboration, private access.","Recognition and action can diverge.","source/canon.csv; Character Bible","assets/gameplay-keyframes/08-supper-version.png"
CHAR-07,Character,Nora Vale,"A blunt outside option who makes leaving feel possible and costly.","Rides, town access, practical advice, family history.","Help can become pressure when urgency overrides listening.","source/canon.csv; Character Bible",""
CHAR-08,Character,Caleb Hart,"Ordinary care and social ease make the outside world less abstract.","Radio repair, first aid, town navigation, confidant conversations.","Closeness can survive disagreement or require distance.","source/canon.csv; Character Bible","assets/gameplay-keyframes/06-county-road.png"
CHAR-09,Character,Dr. Miriam Kline,"A mentor who expands questions instead of supplying identity.","Archive access, source comparison, academic negotiation, historical context.","Recognition helps only when Mara chooses the work.","source/canon.csv; Character Bible",""
CHAR-10,Character,Rev. Isaac Hale,"Faith appears through care, stewardship, humility, and community responsibility.","Meetinghouse access, service tasks, reflective dialogue, moral counterpoint.","Shared faith does not require shared conclusions.","source/canon.csv; Character Bible",""
CHAR-11,Character,Deputy Lena Ortiz,"Procedure can protect people without becoming perfect or omniscient.","Records, emergency response, public responsibility, institutional routes.","Outside help creates paperwork, visibility, and family consequences.","source/canon.csv; Character Bible",""
CHAR-12,Character,Tess Ward,"A peer equal who tests Mara through work, performance, and competition.","Salvage contests, theater tasks, rumors, peer routes.","Rivalry can become respect, exploitation, or distance.","source/canon.csv; Character Bible",""
CHAR-13,Character,Wade Mercer,"Economic pressure rewards speed and hides risk inside ordinary business.","Quarry contracts, money, deadlines, equipment access.","Profit can amplify unsafe family choices without causing every conflict.","source/canon.csv; Character Bible",""
LOC-01,Location,Vale Homestead,"Home is a working system and the emotional consequence hub.","Chores, meals, private rooms, animals, preparation, family conversations.","Safety, belonging, surveillance, and dependence share the same space.","World Bible","assets/gameplay-keyframes/01-ridge-dawn.png"
LOC-02,Location,Iron Hollow,"The salvage yard turns mechanical competence into risk, money, and family status.","Repair, salvage, fabrication, loader work, parts economy.","Fast work earns approval while hidden wear can create future danger.","World Bible","assets/gameplay-keyframes/04-suspended-load.png"
LOC-03,Location,Mercy House,"Care work makes belief and evidence materially consequential.","Gather, prepare, observe, document, call for outside help.","Every care choice changes trust, cost, exposure, and uncertainty.","World Bible; source locations","assets/gameplay-keyframes/05-mercy-house.png"
LOC-04,Location,Cedar Gate Main Street,"A one-stoplight town makes reputation visible.","Errands, social encounters, rumors, objective navigation.","The town may know the Vale family before Mara speaks.","World Bible; source locations","assets/gameplay-keyframes/07-cedar-gate.png"
LOC-05,Location,Merritt's Fuel & Post,"Fuel, mail, gossip, and small commerce share one counter.","Buy supplies, hear rumors, check messages, meet passing characters.","Useful information often arrives wrapped in judgment or familiarity.","source locations","assets/gameplay-keyframes/07-cedar-gate.png"
LOC-06,Location,Cedar Gate Opera House,"Performance creates a public self that family work cannot fully contain.","Rehearse, perform, build sets, meet peers, hear town stories.","Visibility can create confidence and family scrutiny.","source locations; Art Bible",""
