Game Character,Role,Source Inspiration,Canonical Rule,Legacy Note
Mara Vale,Playable protagonist,Tara Westover,Use Mara in all new materials,Legacy matrices sometimes use Avery; replace globally before the next animatic.
Abel Vale,Father / builder-prophet,Gene Westover,Use Abel,Legacy matrices sometimes use Elias.
Ruth Vale,Mother / healer-entrepreneur,Faye Westover,Use Ruth,Legacy matrices sometimes use Mara for the mother.
Jonah Vale,Older brother / trailblazer,Tyler Westover,Use Jonah,"Keep stutter as situational, never as comic punctuation."
Silas Vale,Older brother / charmer-challenger,Shawn Westover,Use Silas,Violence is not romanticized or rewarded.
Eliza Vale,Older sister / divided witness,Audrey Westover,Use Eliza,Her recognition and action can diverge.
Nora Vale,Grandmother / blunt countervoice,Grandma-down-the-hill,Use Nora,"Topographic family address can inspire the game, but avoid copying every exact label."
Caleb Hart,Town friend / outside confidant,Charles,Use Caleb,Ordinary care and social ease are his power.
Dr. Miriam Kline,Historian / mentor,BYU and Cambridge mentors,Use Dr. Kline,"Mentorship deepens through evidence and work, not praise."
Rev. Isaac Hale,Pastor / faith counterpoint,Bishop and compassionate religious figures,Use Rev. Hale,"Faith is represented as varied, social, beautiful, pressured, and contested."
Deputy Lena Ortiz,County responder,Institutional world largely absent from the mountain,Use Lena,Procedure has value and limits.
Tess Ward,Peer rival / performer-salvager,"Town peers, theater ensemble, work competitors",Use Tess,"Rivalry may become mutual respect, distance, or exploitation."
Wade Mercer,Quarry contractor / systemic antagonist,Economic pressure around unsafe labor,Use Wade,He is not the source of every family problem.
