Keyframe,Scene Purpose,Current Objective,Visible Player Actions,Pressure or Risk,Required Feedback,HUD Density
1 Ridge Dawn,"Establish control, place, and attention","Feed animals before sunrise","Move; Look; Track bus; Descend ladder; Open route view","Limited daylight; competing points of attention","Three known places; first tendency seed; ladder prompt",Low
2 Breakfast Pressure,"Show live dialogue during routine","Learn the morning job","Join joke; Ask about phone; Notice book; Stay silent; Stand or sit","Abel assigns work while other details compete for attention","Conversation intent; attention target; later clue notification",Contextual
3 Hairline Crack,"Prove tactile repair","Make truck safe for quarry run","Inspect; Select tool; Chalk crack; Brace; Loosen; Check manual; Ask Eli; Stop work","Deadline; suspended load; scarce replacement part","Known-facts panel; tool state; risk state; verification state",Full
4 Suspended Load,"Prove dynamic danger and fail-forward response","Reduce harm when the load shifts","Stabilize; Cut power; Pull Eli; Warn Abel; Move back","Short response window; worker position; unstable chain","Hazard direction; response timing; prior preparation effect",Full
5 Mercy House,"Prove care under worldview conflict","Assess and stabilize the injured person","Inspect symptoms; Ask patient; Gather supplies; Prepare; Call clinic; Arrange transport; Wait","Condition can worsen; family disagreement; incomplete information","Symptom record; supply state; clinic option; uncertainty label",Full
6 County Road,"Prove driving and mobile dialogue","Reach Cedar Gate before weather closes the pass","Drive; Change speed; Use seatbelt; Scan road; Use CB; Ask; Deflect; Select route","Weather; fuel; engine condition; social pressure","Road condition; route source; dialogue intent; radio signal",Contextual
7 Cedar Gate,"Prove town interaction and rumor propagation","Source the correct repair part","Inspect parts; Compare price; Ask clerk; Buy; Refuse; Read notices; Track rumor","Limited cash; time; public family reputation","Part condition; resource cost; Heard update; town access",Contextual
8 Supper Version,"Prove consequence through live family behavior","Respond to the family's account of the day","Join; Correct one detail; Ask Eli; Offer proof; Stay silent; Leave","Power imbalance; relationship risk; story hardening","Intent choices; changed body language; relationship summary after scene",Contextual
9 Memory Journal,"Prove evidence and interpretation","Record what Mara can responsibly claim","Review Saw; Review Heard; Compare; Write conclusion; Name uncertainty; Revise; Close","Conflicting accounts; missing evidence; emotional pressure","Evidence status; source labels; preserved earlier conclusion",Full
10 Ridge Signal,"Prove exploration and route choice","Locate the source of the signal","Equip; Navigate; Climb; Triangulate; Mark map; Turn back; Ask companion","Weather; fatigue; darkness; uncertain source","Route alternatives; signal strength; fatigue; map source",Low
11 College Threshold,"Prove invisible-rule navigation","Reach registration and build a schedule","Read sign; Ask stranger; Follow crowd; Check map; Board bus; Correct route; Enter office","Time; unfamiliar institution; social exposure","Schedule; location source; unknown-rule prompt; recovery path",Contextual
12 Wider World,"Show campaign-scale growth without ending uncertainty","Choose the next route, relationship, or research question","Open map; Compare invitations; Review capabilities; Contact ally; Set boundary; Travel","Competing commitments; family pressure; limited time","Expanded map; access conditions; capability record; unresolved objective",Low
