Source Place,Type,Source Detail,Game Place,Game Function,Use Rule,Source Locator
Buck’s Peak / Indian Princess,Mountain / region,"The dark female figure appears in the melting snow; wind, pines, ravines, wheat, cliffs, feral horses.",The Peak / The Watcher,"Primary navigation landmark, weather engine, seasonal memory trigger.",Source-exact for classroom notes; working fictional name for commercial build.,Prologue; PDF pp. 10–11.
Red railway car beside the barn,Landmark / lookout,"Abandoned red railcar, roof accessible, near barn and buried rifle; view over valley and school bus route.",The Red Car,"Opening player perch, map-reveal point, memory threshold.",Keep exact object and color; its arrangement is a strong literary anchor.,"Prologue, Ch. 1; PDF pp. 10, 19–20."
Family house on hillside,Home,"Shabby yellow, never quite finished; kitchen, basement, bedrooms, workshop additions; later expands dramatically.",Vale Compound House,Morning assignment hub and evening consequence system.,Transform floor plan; preserve unfinished/expanded character.,Ch. 1 and later home chapters.
Barn and corrals,Work / animal space,"Barn, troughs, pigs, cows, goats, horses, attic, fences, pasture routes.",Upper Barn / South Corral,"Chores, horse training, hidden conversations, search sequences.","Use real rural function, not scenic dressing.",Throughout Part One.
Upper and lower junkyards,Industrial world,"Crumpled vehicles, batteries, copper wire, transmissions, radiators, brass pipe, cranes, loader, fires.",Vale Salvage Yard,Main tutorial and evolving risk economy.,Accurate equipment and spatial continuity required.,Chs. 6–7; PDF pp. 58–77.
Herb room / kitchen counter,Care workshop,"Birch cabinets, electric scale, dried leaves, tincture bottles, sewing cupboard, murky jars.",Mercy House workroom,"Crafting, triage, order ledger, phone calls, community visitors.",Keep specific herbs and work processes; outcomes remain uncertain.,Ch. 2; PDF pp. 21–30.
Basement,Domestic / hidden systems,"Bookshelf, computer, tinctures, dark rooms, gun cabinet, stored supplies; retreat during migraines.",Compound Basement,"Research nook, hidden inventory, injury recovery, secrecy.",Lighting and sound should shift emotional meaning across acts.,"Chs. 2, 4–6."
Root cellar in the field,Hidden supply site,Entrance concealed by a hillock; canned fruit and emergency stores.,West Cellar,Resource hub and evidence of expected catastrophe.,No loot-dungeon framing; it is family labor and fear made physical.,Ch. 9; PDF pp. 85–86.
Grandma-down-the-hill’s home,Family counterworld,"Near highway, patio, carefully kept lawn, stocked refrigerator, direct access to ordinary life.",Nora’s House Below,"Early safe route, milk/food contrast, departure offer.",Preserve physical proximity and worldview distance.,Ch. 1.
Grandma-over-in-town’s yellow house,Family history site,"White picket fence, creamy carpet, floral wallpaper, pleated curtains, primrose/peach bathroom, decorative soaps.",LaRue House / Town Grandmother’s House,"Family-photo archive, hygiene contrast, alternate history.","Use as memory/evidence location, not ‘civilized vs rural’ joke.","Chs. 3, 5; PDF pp. 31–36, 53–57."
Village church,Religious / social,"Hickory-colored chapel just off highway; restrained steeple; pews, Sunday school rooms, piano, pulpit.",Cedar Gate Meetinghouse,"Ritual, choir, service, pressure, public reputation.","Include care, beauty, ordinary gossip, and disagreement.","Chs. 1, 8, 13."
Village post office,Civic / social,"Older clerk behind counter, bulletin board for jobs, gossip crossroads.",Cedar Gate Post & Notices,"Job board, rumors, letters, county forms.",Small scale; combine practical service and social observation.,Ch. 8; PDF p. 78.
Papa Jay’s gas station,Business / social,Gas station owned by Myrna and Jay; dance class in back; community ordinance gossip.,Merritt’s Fuel & Post,"Fuel, dance studio, public bulletin board, local politics.",Exact name may appear in classroom prototype; commercial name should be original.,Ch. 8; PDF pp. 78–84.
