Record Layer,Player-Facing Name,Scope,Visible Measures,Display Timing,Unlocks or Effects,Not Allowed,Persistence Rule,Prototype Test
Live action,Immediate feedback,Current action,"Tool fit; balance; traction; material motion; character reaction",During play,"Better control decisions; readable cause and effect","Score replacing physical feedback",Current scene state,"Player predicts result before scorecard"
Encounter score,Work Mark,Resolved encounter,"Four measures at 0 to 3 marks; total 0 to 12; rank",After danger or conversation settles,"Challenge replay; personal best; feats","Morality score; score during crisis",Canon Mark persists in story run,"Player explains each mark"
Replay score,Best Mark,Challenge Board,"Best score; modifiers; attempts",After replay,"Personal best; Masterwork completion","Rewriting canon history",Stored separately from Canon Mark,"Player distinguishes replay from story"
Practical outcome,Outcome record,Task or incident,"Condition; verification; safety; time; resources; evidence",Immediately after resolution,"New repairs; debt; routes; dialogue","Good or evil labels",Persists in Living History,"Player names one factual outcome"
Capability mastery,Mastery record,Campaign,"Tier; practice; pressure; transfer; verification proofs",Roadbook and milestone moments,"New verbs; speed; reliability; information; authority","Generic damage numbers; grind-only progress",Persists through the run,"Player identifies next mastery proof"
Tool familiarity,Equipment record,Tool vehicle or horse,"Handled; Familiar; Trusted",Roadbook and context prompts,"Faster selection; stability; alternate technique","Invulnerability; automatic success",Persists while asset survives,"Player notices handling change"
Material economy,Resources,Campaign,"Cash; credit; fuel; parts; food; medicine; time; favors; information",Current screen and Roadbook,"Tools; transport; study; care; recovery","Large loot grid; moral value assigned to wealth",Persists and can be lost,"Player makes one understood tradeoff"
Place knowledge,Map record,Location and route,"Heard of; Located; Visited; Understood; Connected",Map and discovery moments,"Routes; services; shelter; contracts; mysteries","Omniscient map reveal",Persists with recorded source,"Player recalls how a route became known"
Relationship history,People record,Character pair,"Trust; respect; fear; loyalty; dependence; clarity milestones",Behavior first then Roadbook,"Help; access; testimony; shared moves; boundaries","Single friendship bar; raw morality points",Persists by milestone and event,"Player cites one behavior change"
Evidence history,Record,Claim and event,"Saw; Heard; Concluded; Revised; support state",Journal and event review,"New questions; corrections; access; testimony","Truth percentage; omniscient reconstruction",Preserves prior versions,"Player separates observation from conclusion"
Household account,Family version,Event,"What the household says happened",Home scenes and Roadbook,"Alliance; pressure; private conversation","Automatic correction by narrator",Persists until changed through play,"Player notices a changed retelling"
Public account,Official or town version,Event,"Record; rumor; institutional decision",Town institution and Roadbook,"Prices; access; discipline; reputation; appeal","Assuming official equals true",Persists and may remain false,"Player names a public consequence"
Known causality,Causal thread,Linked events,"Supported action-to-consequence links",After relation becomes observable,"Planning knowledge; revised conclusion","Future spoilers; hidden variables shown early",Persists with evidence source,"Player explains one causal link"
Loss record,What was lost,Encounter act or campaign,"Injury; death; asset; contract; access; evidence; relationship",At consequence and in Roadbook,"Recovery work; changed controls; Second Road eligibility","Erasing loss through menu",Persists in branch state,"Player sees later play changed by loss"
Persistence record,Second Roads,Selected loss,"Apparent Ending; seed; cost; branch; outcome",Ending Archive after discovery,"Recovery; transformation; Legacy Chapter","Points for suffering; hidden true ending",Original loss remains canon,"Player understands that loss remains"
Journey score,Run score,Act and campaign,"Mastery 250; Discovery 200; Record 200; Stewardship 150; Challenges 200",Optional act and ending summary,"Personal best; Legacy Card; challenge goals","Ending quality score; relationship ranking",Stored per run with difficulty modifier,"Player does not read it as morality"
Feats,Feats,Account-wide archive,"Mastery; discovery; record; persistence accomplishments",On completion or later summary,"Cosmetic record; challenge variants; archive completion","Achievements for abuse or preventable harm",Persists across runs,"Player can name why feat unlocked"
Ending Archive,Archive,Account-wide,"Endings; Apparent Endings; Redemption Windows; Second Roads; Legacy Chapters",After first ending and from menu,"Branch replay; comparison; completion","Spoiling undiscovered conditions",Persists across runs,"Player uses archive without overwriting branch"
Legacy Card,Run legacy,Completed run,"Path; score; capabilities; places; allies; losses; accounts; unresolved threads",Campaign completion,"Run comparison; shareable summary; replay motivation","Good or bad ending label",Immutable snapshot per completed run,"Player identifies unique run history"
Accessibility,Access settings,All record systems,"Text; timing; input; contrast; audio; dwell support",Settings and quick menu,"Equivalent play access","Score penalty; reduced difficulty assumption",Settings persist across runs,"No tester believes access lowers score"
