ID,Loss State,Apparent Ending,Seed Type,Seed,Prior Foreshadowing,Activation,Second Road,Recovery Cost,Irreversible Loss,Possible Second Failure,Hiddenness,Accessibility Cue
RW-01,Quarry contract and truck lost,Salvage-yard auction begins,Shadow character,Tess with portable welder and Mara's diagram,"Tess appears at yard and opera loading dock",Focus on Tess or diagram for 15 seconds,Night Shift,"Start without family tools; rebuild credit",Quarry contract remains lost,Night garage closes after unpaid debt,Contextual,"Audio: welder latch; stronger silhouette contrast"
RW-02,Wrong accusation harms an innocent person,Official record closes,Preserved truth,Courthouse carbon copy with different wording,"Clerk handles duplicate forms in two earlier scenes",Focus on clerk or paper tray,The Second Record,"Confess; surrender credibility; make restitution",Harmed person may not forgive Mara,Appeal fails and record remains disputed,Contextual,"Paper movement; readable high-contrast text mode"
RW-03,Scholarship or deadline lost,Registrar closes and campus empties,Institutional seam,Night job notice with tuition waiver,"Custodian and employment board appear before loss",Watch custodian uncover notice,The Late Form,"Night work; delay; fatigue; reduced status",Original scholarship remains gone,Mara loses job after repeated lateness,Visible,"Persistent Discovery Cues emphasize paper removal"
RW-04,Family relationship severed,Bus leaves with no family farewell,Undecorated object,Envelope left by quiet relative,"Relative appears twice and knows one private nickname",Remain at bench and examine envelope,One Letter,"Slow contact; boundaries; no public reunion",Most family ties remain severed,Contact stops after a boundary breach,Deep,"Sound cue from envelope sliding on bench"
RW-05,Permanent hand injury,Workshop path closes,Transformed capability,Adaptive stage-rigging jig,"Stagehand uses jigs during two theater scenes",Inspect jig or ask who built it,Different Hands,"Retraining; dependency; altered identity",Hand injury remains permanent,Adaptive workshop funding fails,Contextual,"Vibration and tool sound support"
RW-06,Mara dies in Iron Ridge,Credits begin over empty room,Legacy carrier,Mara's journal found by minor character,"Carrier appears in library or church scenes",Focus journal during credits,What She Left,"Carrier risks status and safety",Mara remains dead,Carrier abandons the correction,Deep,"Optional post-credit cue and extended dwell"
RW-07,Horse dies on ridge,Stable is empty,Returned favor,Rancher repairs Mara's old pack saddle,"Mara helped the rancher earlier",Listen to hammering and approach rancher,Lead Another,"Learn with a new horse; accept supervision",Original horse remains dead,New horse refuses Mara after reckless handling,Contextual,"Sound-direction indicator"
RW-08,Truck destroyed and transport lost,Family cannot reach contracts or town,Shadow character,Bus mechanic studies salvageable parts,"Mechanic appears at fuel stop and school route",Focus on mechanic under bus,Borrowed Miles,"Repair community bus; trade labor for rides",Truck remains destroyed,Bus contract ends after missed maintenance,Contextual,"Engine tap pattern and captioned sound cue"
RW-09,Evidence confiscated,Case appears closed,Undecorated object,Unprocessed negative in old camera roll,"Camera use and photo counter appear earlier",Open camera and inspect final frame,Negative Space,"Risk discipline; find lawful publication route",Original evidence remains confiscated,Negative is damaged during processing,Deep,"Large-image review mode"
RW-10,Store credit closed,Tools and parts become unavailable,Unfinished place,Community board with a small repair request,"Board appears in hardware store",Read an unpainted handwritten card,Small Accounts,"Take low-status jobs; repay debt",Old credit relationship remains damaged,Client refuses payment after poor work,Contextual,"Text-to-speech and board focus cue"
RW-11,College probation or expulsion,Room is cleared,Institutional seam,Professor's marginal note and transfer form,"Professor discussed alternate institutions",Read note after packing,Another Door,"Admit failure; transfer; repeat work",Original standing remains lost,Transfer application is denied,Visible,"Paper contrast and narrated document"
RW-12,Theater role lost,Cast photo excludes Mara,Transformed capability,Backstage cue sheet with Mara's timing notes,"Mara helped stage crew before audition",Follow stagehand and inspect cue sheet,House Left,"Work backstage; give up spotlight",Original role remains lost,Production closes after funding loss,Contextual,"Repeated lighting cue"
RW-13,Workshop burns,Family economy collapses,Preserved object,Surviving safety jig and fire report,"Jig and unsafe airflow appear earlier",Inspect jig after firefighters leave,Safer Yard,"Rebuild to code; accept county oversight",Original shop and tools remain gone,Permit is denied after noncompliance,Visible,"High-contrast survivor-object cue"
RW-14,Ally leaves town,Station platform empties,Undecorated object,Unmailed postcard with return address,"Postcards and address joke appear earlier",Turn card over after train departs,The Return Address,"Write honestly; accept distance",Ally may never return,Correspondence ends after another omission,Deep,"Page-turn sound and text narration"
RW-15,Church community rejects Mara,Meetinghouse doors close,Shadow character,Pantry volunteer keeps basement light on,"Volunteer appears during service projects",Wait and follow light,Bread After Sunday,"Serve without public approval; build new community",Formal membership remains lost,Volunteer group splits under pressure,Contextual,"Light contrast and audio direction"
RW-16,Mara is stranded after a bad route,Radio battery nearly dies,Unearned grace,Unknown ham operator repeats Mara's call sign,"Call sign appears in radio scenes",Tune static and answer,Call Sign,"Accept rescue; repay through radio network",Lost cargo and time remain lost,Storm blocks rescue and forces shelter,Visible,"Captioned radio tuning and vibration"
RW-17,Sibling is blamed for accident,Family story hardens,Preserved truth,Mother's work ledger and quiet witness,"Ledger records shifts in earlier scenes",Compare ledger with supper account,Shared Burden,"Public correction; family conflict",Sibling's lost time or injury remains,Correction fails and family expels Mara,Contextual,"Journal comparison mode"
RW-18,Unsafe family business survives,Abel declares victory,Shadow character,County inspector holds an unused red tag,"Inspector appears during prior warning",Focus on tag or inspector,The Red Tag,"Whistleblow; lose family access",Family business may close,Cooperative fails without local support,Deep,"Tag rustle and shape cue without red-only reliance"
RW-19,Course failed,Final grade posts,Undecorated object,Tutor's note inside returned library book,"Tutor appears in study hall",Open book after grade scene,Second Draft,"Remedial study; ask for help",Failed grade remains on record,Mara fails the retake,Visible,"Text narration and bookmark cue"
RW-20,Community leadership role lost,Meeting adjourns,Unfinished place,Empty chair and unsigned minutes,"Mara attended earlier meetings",Stay after room empties,Chair Left Open,"Organize without title; rebuild trust",Election remains lost,Volunteer group dissolves,Contextual,"Chair scrape and room tone"
RW-21,Care decision causes harm,Patient transfers to clinic,Unearned grace,Nurse leaves training card and factual note,"Nurse appears in prior referral scene",Read card after family leaves,Refer Forward,"Apologize; train; support patient",Harm remains part of patient's life,Mara avoids accountability and loses access,Visible,"Accessible document read-aloud"
RW-22,Arrest or location ban,Property gate closes,Institutional seam,Public defender waits in hallway,"Defender name appears on notice board",Approach defender after hearing closes,Terms of Return,"Community service; supervised access; admission",Ban and record remain for a time,Mara violates terms and receives longer ban,Visible,"Dialogue cue and extended response window"
RW-23,Relationship with Caleb breaks,CB channel goes silent,Undecorated object,Repaired CB catches a familiar call sign,"Mara and Caleb shared channel earlier",Tune and wait on channel nine,Channel Nine,"Apology without demand; accept no reply",Relationship may remain ended,Mara turns the call into self-justification,Deep,"Captioned static and tuning assistance"
RW-24,Mara stays and loses authorship of her story,Family version becomes public record,Legacy carrier,A child or student asks about a blank journal page,"Mara previously helped the child read or repair",Focus on blank page or question,Name It,"Write; teach; risk family backlash",Public story remains difficult to change,Mara closes the journal again,Contextual,"Spoken question and journal focus cue"
