Source Form,Source Function,Game Form,Game Function,State,Guardrail,Source Locator
Grandma-down-the-hill,Topographic kinship name distinguishing a grandmother by where she lives.,Nora Below / Grandma Below,Family shorthand and world geography become the same thing.,Neutral-familiar,"Use sparingly; explain once through action, not exposition.","Ch. 1, PDF pp. 14–16."
Grandma-over-in-town,Topographic kinship name linked to the one-stoplight town and orderly house.,Grandma in Town,Signals a different social world before any argument begins.,Neutral-familiar,Avoid copying every exact label; retain the functional logic.,"Chs. 1, 5; PDF pp. 14–16, 53–57."
Indian Princess,Family name for the female shape visible on Buck’s Peak.,The Watcher / Woman in the Snow (working),"Mountain silhouette becomes navigation, season marker, and contested family story.",Belonging-symbol,Handle the source term critically; do not use Indigenous identity as decorative fantasy.,"Prologue, PDF pp. 10–11."
Sittle/Siddle Lister,Private word-game nickname created during a trucking trip.,Riddle-Sis,Begins as intimacy through shared language; may later be used to reclaim closeness after harm.,Warm -> unstable,Do not simply copy the phrase into commercial dialogue; transform its linguistic rule.,"Ch. 12, PDF pp. 104–105."
Fish Eyes,A degrading nickname first applied to another girl and then transferred to Tara.,Glass Eyes,Shows how Silas defines women and turns a private label into public control.,Humiliating,Never reward the player for accepting it; context must make the harm legible.,"Chs. 12–13, PDF pp. 105–116."
Wench,Worksite label used to drag Tara back into an assigned role.,Yard Girl / Hand,Turns labor role into identity pressure.,Controlling,Use original equivalent only when narrative purpose is clear; do not normalize sexist abuse as banter.,"Ch. 20, PDF pp. 165–166."
Wilbur,Food/body-based insult used in front of Charles.,Bottomless / Grub Pig,Public humiliation intensifies when an outsider is present.,Controlling-public,Do not use body shaming as comic flavor.,"Ch. 20, PDF pp. 165–166."
Raccoon Eyes,Children’s joke about Mother’s bruising after a serious head injury.,Bandit Eyes (source-study only),Shows family humor converting medical danger into normal life.,Family folklore,"In the game, let later knowledge reframe the old joke; do not invite the player to laugh at injury.","Ch. 4, PDF p. 45."
The Yearling -> Bud,A horse moves from descriptive category to affectionate personal name.,The Yearling -> Cedar,Naming tracks trust and domestication.,Warm-earned,"The player should earn the naming moment through care, not a menu prompt.","Ch. 11, PDF pp. 97–99."
Big Red / Black Mare / White Giant,Descriptive names for feral horses the family tries not to love.,Rust Mare / Pale Giant / Black Socks,Functional naming protects against attachment.,Practical-distance,Keep names grounded in rural observation.,"Ch. 11, PDF pp. 97–98."
Honey,Dad’s rare tender address during danger or emotional openness.,Honey,A small word carries disproportionate weight because it is not constant.,Tender-rare,Do not turn it into a default catchphrase.,"Chs. 4, 6, 18; e.g., PDF pp. 44, 60, 156."
Sister / Brother titles,Religious and community forms of address.,Sister Vale / Brother Hale,"Public identity, faith community, and social distance.",Formal-community,Use in meetinghouse scenes; switch to first names when trust becomes personal.,Throughout church/BYU scenes.
“Strong stuff”,Praise that frames endurance as identity.,“Made of iron”,Competence praise can also pressure the player to accept danger.,Praise-with-debt,Track whether praise is care or leverage.,"Ch. 15, PDF pp. 133–136."
“Uppity”,"Label for education changing Tara’s dress, work choices, and voice.",“College proud”,Signals that growth is being recast as betrayal.,Controlling,"Use as family worldview pressure, not authorial judgment.","Ch. 20, PDF p. 165."
Slur-based worksite name,Racial slur becomes newly legible after Tara learns history.,Do not reproduce as ambient nickname,The important mechanic is changed hearing: knowledge changes what language means.,Historical harm,"Use only in a carefully framed educational scene, with content controls and no repetition for flavor.","Ch. 20, PDF pp. 166–169."
