Loss Tier,Trigger,Example,Default Persistence,Player Feedback,Recovery,Not Allowed
Encounter setback,"Recoverable execution error","Dropped engine; broken tool; lost cargo; missed cue",Autosave continues,"Immediate physical and social response","Repair; retrieve; improvise; accept delay","Cosmetic failure with no later effect"
Encounter defeat,"Player death or unrecoverable critical state","Crush; fatal fall; fire; crash; exposure; wildlife attack",Reload current checkpoint in Standard,"Critical failure screen with known conditions","Retry; review controls; change approach","Untelegraphed instant death"
Persistent injury,"Nonfatal severe harm","Broken wrist; concussion; burn; frost injury",Autosave,"Condition change and altered capability","Rest; care; treatment; adapted technique","Trauma as a reward or skill farm"
Asset loss,"Irreplaceable or costly object destroyed","Horse death; truck destroyed; tools confiscated",Autosave,"Asset and access summary","Buy; borrow; repair; find alternate route","Free replacement that erases consequence"
Contract loss,"Work goal missed or client withdraws","Quarry load missed; unsafe delivery rejected",Autosave,"Income and route changes","New work; debt; bargaining; alternate customer","Moral score for obedience"
Resource collapse,"Critical supplies depleted","Fuel; medicine; food; replacement parts",Autosave,"Inventory and world-state change","Scavenge; trade; ask for help; delay","Hidden depletion without readable use"
Evidence loss,"Trace becomes unusable","Rain erases mark; cable reused; notes confiscated",Autosave,"Journal marks evidence Lost or Altered","Find witness; locate record; revise conclusion","Omniscient recovery of destroyed evidence"
Opportunity loss,"Hard deadline passes","Scholarship; role; interview; course registration",Autosave,"Schedule and access change","Alternate education; trade; performance; community path","Treating college as the only win"
Relationship severance,"A character ends contact or refuses access","Ally leaves; family member refuses help",Autosave,"Behavior and access change","Long repair arc when plausible; new allies","Single friendship number as explanation"
Legal or institutional loss,"Identified rule violation","Trespass ban; fine; arrest; probation; expulsion",Autosave,"Named rule and immediate consequence","Appeal; restitution; alternate access","Law as omniscient morality system"
Witness tragedy,"Another person is permanently harmed or killed","Late rescue; vehicle collision; fire",Autosave when supported; reload when campaign structure cannot continue,"World, labor, relationship, and testimony changes","Grief; replacement labor; investigation; altered route","Spectacle or repeated harm for mastery"
Campaign loss: death,"Mara dies with terminal save rule","Iron Ridge chapter, act, or campaign death",Selected permadeath scope,"Cause, warning signals, run summary","Start new run or lower save severity","Surprise permadeath without consent"
Campaign loss: closed agency,"No viable path and no recovery route remain at hard campaign deadline","No transport; no income; no support; all active routes closed",End current playthrough,"Closed Map summary with lost and remaining possibilities","Start earlier chapter if mode permits; new run","Equating a local life with failure"
Dark ending,"Campaign completes with major irreversible losses","False account hardens; ally dies; family fractures",Campaign completion,"Epilogue shows concrete consequences","New playthrough; chapter replay outside canon","Good or evil label"
