id,category,name,core_function,player_hook,visual_motif,design_guardrail
CH-01,character,Mara Vale,Playable protagonist who turns practical attention into self-authored choices,Notice what others overlook and decide what it means,Braid; worn denim; notebook; grease-stained hands,Competence comes from access and practice; never frame knowledge gaps as low intelligence
CH-02,character,Abel Vale,Father and master mechanic whose love skill certainty and control can coexist,Learn from him while deciding when obedience becomes unsafe,Red work cap; square glasses; loader; weathered hands,Keep humor courage skill love and self-deception together; no cartoon zealot
CH-03,character,Ruth Vale,Healer and entrepreneur whose crisis competence contrasts with domestic appeasement,Help care for people while choosing what evidence and outside help matter,Amber bottles; herbs; scale; green corded phone,Show real care and skill alongside unsupported claims and denial
CH-04,character,Jonah Vale,Older brother who models study order music and quiet departure,Ask for help without surrendering the problem,Pencil notes; cassette; clean tools; algebra,His stutter is situational and never comic shorthand
CH-05,character,Silas Vale,Charismatic older brother whose skill and affection can turn possessive or threatening,Read whether closeness is becoming control,Rope; climbing gloves; half-smile; truck mirror,Boundaries matter more than affection; never reward endurance of abuse
CH-06,character,Eliza Vale,Older sister who notices contradictions but must weigh recognition against belonging,Compare what she knows with what she is willing to say,Ledger; folded dish towel; watchful eyes,Recognition and action can diverge without making her simple coward or hero
CH-07,character,Nora Vale,Grandmother and town countervoice who offers practical alternatives and blunt pressure,Gain access to roads town and outside routines without treating escape as simple,Station wagon; seatbelt; grocery sacks; map,Her help can be loving impatient or controlling; avoid idealized outsider wisdom
CH-08,character,Caleb Hart,Town friend and radio hobbyist who makes ordinary care feel unfamiliar,Test trust through everyday companionship rather than rescue,CB radio; first-aid kit; work jacket; car keys,He is not a savior; his power is ordinary social ease and respect
CH-09,character,Dr. Miriam Kline,Historian and mentor who teaches source comparison and revision,Bring incomplete evidence and learn better questions,Archive box; index cards; desk lamp; chalkboard,Mentorship deepens through work and evidence not praise
CH-10,character,Rev. Isaac Hale,Pastor who represents stewardship faith as a counterpoint to fear-based certainty,See how belief can produce care humility service and disagreement,Meetinghouse light; casserole dish; hymnal; work gloves,Faith must stay plural social and human; never use religion as morality meter
CH-11,character,Deputy Lena Ortiz,County responder who embodies procedure public duty and institutional limits,Call for help and discover what formal systems can and cannot do,Radio; clipboard; reflective jacket; county vehicle,Do not portray institutions as automatically wise safe or malicious
CH-12,character,Tess Ward,Peer rival performer and salvager who competes as an equal,Win respect through skill choices humor or refusal to compete,Theater light; wrench; boots; ticket stub,Rivalry can become respect distance or exploitation; no mean-girl simplification
CH-13,character,Wade Mercer,Quarry contractor who turns deadlines and money into systemic pressure,Recognize when incentives make unsafe choices feel normal,Hard hat; contract folder; quarry lights; diesel dust,He is not the source of every family problem and should have plausible incentives
LO-01,location,Vale Homestead,Home consequence hub where routines relationships and retellings change nightly,Return to a familiar place that is never emotionally identical,Red railcar; barn; red-oak table; mountain silhouette,Home must contain warmth humor work and conflict; not a misery set
LO-02,location,Iron Hollow Salvage,Primary work playground for repair salvage machinery economy and danger,Turn junk into capability while reading hazards and authority,Oxidized steel; loader; chain; sorted metal,Competence should be beautiful and danger spatially readable
LO-03,location,Mercy House,Healing workshop and family business where care belief evidence and reputation collide,Prepare remedies document symptoms call outside help or negotiate privacy,Amber jars; herbs; birch cabinets; green phone,Do not present herbal knowledge as either magic or stupidity
LO-04,location,Cedar Gate Main Street,Small-town social hub where family reputation arrives before Mara does,Learn the town by sight and by who greets avoids or watches you,One stoplight; brick storefronts; pickup trucks; church steeple,Town residents must vary in class belief knowledge kindness and prejudice
LO-05,location,Merritt's Fuel & Post,Fuel counter post office and gossip interchange based on memoir village texture,Pick up supplies and hear what the county thinks happened,Gas pumps; mailboxes; coffee pot; bulletin board,Background talk should create pressure or opportunity not exposition dumps
LO-06,location,Cedar Gate Opera House,Performance space where Mara practices voice social timing and alternate identity,Rehearse perform improvise and meet people who know a different Mara,Backstage rope; footlights; costumes; old marquee,Performance should be active gameplay not a montage reward
LO-07,location,Cedar Gate Carnegie Library,Early self-directed learning hub with basement children’s-room texture,Search ask browse copy notes or discover what words mean,Card catalog; basement stairs; photocopier; paper map,Research should require choices about sources and time not trivia quizzes
LO-08,location,Meetinghouse and Community Hall,Faith and service space where public address differs from private relationships,Attend help question sing serve or leave early,Hymnal; folding chairs; kitchen; coat rack,Represent multiple faith postures and community functions in the same room
LO-09,location,South Fork,Backcountry region for horses herbs cabins river routes and quiet conversations,Choose route weather preparation and companions,River stones; horse tack; herbs; quarry road,Landscape is not filler; traversal must create information and risk
LO-10,location,Highline Pass,Weather-exposed ridge with radio tower snow switchbacks and restricted routes,Investigate signals manage exposure and decide when to turn back,Radio mast; snow stakes; switchback road; storm cloud,Curiosity must have preparation costs but retreat must remain valid
LO-11,location,Echo Quarry,Economic pressure zone where contracts safety and family reputation intersect,Work for money inspect shortcuts document hazards or refuse a task,Quarry wall; sodium lights; contracts; heavy equipment,No faceless evil corporation; pressure comes through incentives people and deadlines
LO-12,location,Briar College South Apartments,Culture-shock home base where unwritten rules become visible,Learn roommate norms transit hygiene schedules and belonging,Shared sink; city noise; paper schedule; bus map,Do not turn missing cultural knowledge into humiliation comedy
LO-13,location,Briar College Academic Core,Cluster of auditorium computer lab engineering hall registrar and faculty offices,Move from confusion to self-directed use of institutions,CRT monitors; lecture hall; janitor cart; blue book,Institutional navigation should reward asking comparing and returning
LO-14,location,Old Court Cambridge,Historical academic environment where beauty and belonging can coexist with insecurity,Explore gates courts cloisters libraries and mentor spaces,Stone gate; porter lodge; cloister; small window,Historical awe should not erase class or cultural disorientation
LO-15,location,East Coast Fellowship,Harvard-Boston region for research urban navigation and family collision,Use transit libraries seminars and parent visits to test the new self,Brick yard; grand library; subway gate; small dorm room,A wider world is not automatically kinder or more truthful
SY-01,system,Attention,Turns looking listening touching and comparison into actionable information,Notice a crack a changed word a weather shift or a hesitation,Focus shift; hand-to-object contact; margin note,Do not highlight every important object; let context and skill matter
SY-02,system,Repair and Salvage,Hands-on work system for diagnosing tools parts sequence risk and improvisation,Solve the same job safely quickly cheaply collaboratively or not at all,Wrench; chalk mark; service manual; sparks,Failure changes conditions instead of producing repetitive reloads
SY-03,system,Care and Treatment,Decision system for symptoms first aid remedies privacy transport and escalation,Choose what to do when care is urgent and certainty is incomplete,Vitals note; herb bottle; phone; car keys,No medical misinformation as reward; uncertainty must stay legible
SY-04,system,Traversal and Weather,Movement system where route surface visibility vehicle condition and weather change options,Travel by foot horse truck bus or borrowed ride while reading the world,Tire tracks; map fold; snow; river crossing,Travel is never dead time or only scenery
SY-05,system,Conversation Intent,Dialogue system based on intention timing and relationship context rather than correct lines,Ask challenge joke deflect agree remain silent leave or return later,Eye contact; pause; work-in-progress; doorway,No magic dialogue answer that fixes another person
SY-06,system,Relationship State,Tracks trust respect dependence fear loyalty and clarity independently,Gain access in one dimension while losing another,Open door; borrowed tool; withheld look; shared task,Never collapse relationships into affection points
SY-07,system,Worldview Profile,Models what characters value notice fear praise and interpret,Understand another worldview without having to adopt it,Scripture margin; checklist; archive note; radio news,Do not score private belief as good or bad
SY-08,system,Evidence and Memory,Separates Saw Heard and Concluded while preserving revised interpretations,Build a case that can remain uncertain and change later,Notebook columns; receipt; chalk photo; conflicting testimony,The game must sometimes allow several defensible interpretations
SY-09,system,Home Consequence Hub,Converts outside actions into changed routines access mood gossip and retellings,Return home to discover what your choice became in other people’s stories,Table setting; empty chair; changed chore list; phone message,Consequences should emerge through behavior not a results screen
SY-10,system,Capability and Time,Grows practical and intellectual capability while time money favors parts fatigue and access constrain plans,Choose what to learn do postpone or ask someone else to do,Watch; toolbox; bus schedule; cash envelope,No generic XP morality or loot rarity treadmill
EN-01,encounter,The Hairline Crack,Repair encounter that tests safety authority competence and evidence,Inspect reinforce challenge delay ask for help or proceed,Cracked axle; chalk line; Abel waiting,Every approach must change both practical and relational state
EN-02,encounter,Suspended Load,Dynamic work hazard that turns spatial reading into an immediate choice,Cut power stabilize warn pull someone clear or call help,Swinging chain; kill switch; shadow; mud,Readable danger first; spectacle second
EN-03,encounter,Treatment or Clinic,Care conflict where treatment escalation and family loyalty collide,Prepare remedy call clinic ask the patient document or split tasks,Herb table; green phone; county car outside,No false certainty about medical outcomes
EN-04,encounter,County Road Confidant,Travel conversation where ordinary outside concern challenges normalized danger,Defend family joke change subject ask a question or disclose one detail,Dashboard; seatbelt; creek bridge; radio,The friend cannot solve the family system
EN-05,encounter,Town Reputation,Social encounter where a stranger or peer already knows a version of Mara’s family,Hide defend question joke trade information or walk away,Store counter; glance; newspaper clipping; receipt,Reputation should create openings as well as stigma
EN-06,encounter,Ridge Signal,Exploration mystery where curiosity competes with weather preparation and permission,Investigate mark the location ask Caleb prepare better or retreat,Radio burst; smoke thread; storm front; trail marker,Mystery must expand the game beyond college without becoming conspiracy fantasy
EN-07,encounter,Supper Version,Home scene where the day is retold and one fact shifts,Correct one detail tell the full version support someone remain silent or leave,Red-oak table; serving bowl; changed wording,Silence is a real action with later consequences
EN-08,encounter,Rules Nobody Explained,College encounter where assumed knowledge creates friction and choice,Ask for directions read a posted rule follow others improvise or arrive late,Bus map; registrar desk; course sheet; CRT terminal,Knowledge gaps come from access not intelligence
WV-01,worldview,Covenant Protection,Safety through obedience separation preparation and family unity,Explains why risk and loyalty can feel morally linked,Stored food; weather radio; family prayer,Must include love courage and genuine protective intent alongside control
WV-02,worldview,Stewardship Faith,Faith expressed through care humility service repair and responsibility,Offers a religious counterpoint without demanding disbelief,Work gloves; casserole dish; hymnal; repaired fence,Do not make this the author-approved perfect faith
WV-03,worldview,Civic Trust,Shared evidence procedure and public institutions can protect where private systems fail,Makes records clinic rescue school and law meaningful options,Clipboard; clinic sign; public map; county radio,Institutions retain limits bias cost and bureaucracy
WV-04,worldview,Skeptical Pragmatism,Test claims against observable results and remain wary of unverifiable certainty,Rewards experiments practical comparison and provisional belief,Multimeter; checklist; repeated test; spare part,Pragmatism can miss meaning history and relationships
WV-05,worldview,Scholarly Inquiry,Compare sources name uncertainty revise conclusions and seek historical context,Turns education into new verbs rather than a destination,Archive box; footnote; lecture slide; index card,Scholarship does not guarantee wisdom kindness or courage
RS-01,relationship,Trust,Willingness to rely on another person’s word presence or discretion,Changes what people tell Mara and what they ask her to hold,Shared key; private note; unguarded silence,Trust can coexist with fear disagreement and dependence
