Input,Keyboard Mouse,Stable Meaning,Primary Uses,Accessibility Notes
Left stick,WASD,Move,"Walk; climb position; steer","Analog sensitivity; left-handed layouts"
Left-stick click,Shift,Increase pace,"Jog; sprint; faster movement","Toggle sprint option"
Right stick,Mouse,Look and direct attention,"Track cable; watch speaker; scan road","Sensitivity; invert axes; reduced camera acceleration"
Right-stick click,Q,Attention focus,"Listen closely; inspect sound; study wear","Toggle focus; audio cue support"
A,E,Engage,"Pick up; open; climb; sit; speak; confirm","Hold or tap selection"
X,F,Examine or manipulate,"Rotate hub; inspect wound; read notice","High-contrast context prompt"
Y,C,Communicate,"Ask; warn; call out; request help","Subtitle and speaker-label support"
B,Escape,Disengage,"Release; step back; stay silent; leave","Never treated as a missing choice"
Left trigger,Right mouse,Brace or focus,"Hold part; steady hands; prepare grip","Toggle brace option"
Right trigger,Left mouse,Perform,"Apply force; cut; prepare; accelerate","Pressure-independent alternative"
Left bumper,Tab,Tool or supply wheel,"Tools; herbs; camera; notebook","Pause or slow-time option"
Right bumper,R,Alternate or test,"Measure; verify; change grip","Single-button simplified test option"
D-pad up,J,Journal,"Saw; Heard; Concluded; Revised","Large-text journal mode"
D-pad left and right,1 through 4,Quick tools,"Wrench; chalk; flashlight; notebook","Custom quick-slot assignment"
D-pad down,M,Route and objective,"Current task; known routes; source notes","Text map and color-independent symbols"
