Trigger,Character,Context,Source Detail,Narrative Function,Game Use,Source Locator
Butter or honey?,Abel,Breakfast / scripture discussion,A verse becomes a household food rule; later the rule quietly disappears.,Loyalty can hide inside ordinary food.,A pantry comment can trigger two conflicting recollections of why milk vanished.,"Ch. 1, PDF pp. 13–15."
Grandma’s pennies,Nora,Kitchen banter,A blunt grandmother answers grand revelation with practical sarcasm.,Humor contests authority.,Nora tosses coins on the table when Abel offers a sweeping theory.,"Ch. 1, PDF p. 14."
Milk rebellion,Nora / Mara,Breakfast at Nora’s,"Grandma fills her fridge with skim, whole, chocolate, and other milk after Abel condemns it.",Small domestic objects become political lines.,A refrigerator inventory tells the player who disagrees before dialogue begins.,"Ch. 1, PDF p. 15."
Five A.M. escape plan,Nora,Pre-dawn / road preparation,Grandma offers to take the child to Arizona and put her in school; muddy boots and animal chores complicate the fantasy.,Leaving is practical and emotional at once.,A ride offer is interrupted by the player remembering the trough and animals.,"Ch. 1, PDF pp. 15–17."
That’s just how we talk,Ruth,Family reunion / loud argument,A favorite story explains that shouting can be affectionate in the family’s own code.,Tone and content may conflict.,A newcomer mistakes rough banter for a fight; later a real threat sounds almost identical.,"Ch. 3, PDF pp. 34–35."
White or cream shoes,Ruth / Nora,Getting dressed for meetinghouse,A family memory turns a tiny color choice into a symbol of respectability and rebellion.,Objects carry class history.,A wardrobe choice opens a story about a mother’s old house and the life she rejected.,"Ch. 3, PDF pp. 31–32."
The red railway car,Mara,Dawn / private reflection,"The abandoned railcar is lookout, playground, imagined vehicle, and threshold.",Place can hold escape fantasies for years.,The player climbs it to survey the compound; the same framing changes later in the game.,"Prologue and Ch. 1, PDF pp. 10, 20."
Head-for-the-hills bags,Abel / siblings,Storm prep / cellar inventory,"MREs, water purifiers, flint, herbs, and weapons are packed for an expected siege.",Preparation is both skill and fear.,A sibling jokes about an expired MRE while another remembers sleeping with the bag.,"Ch. 1, PDF pp. 18–20."
The buried rifle,Jonah / Mara,Near the railcar,Jonah seals a rifle in plastic and buries it beside the railcar.,A hidden object changes the meaning of a childhood place.,Metal detector chatter can reveal different memories of why it was buried.,"Ch. 1, PDF p. 19."
The first birth,Ruth,Herb House small talk,Ruth returns pale and trembling after assisting a dangerous delivery; later she retells emergencies with more confidence.,Stories change as fear becomes identity.,An apprentice hears the polished version; Mara remembers the trembling version.,"Ch. 2, PDF pp. 22–29."
The lime-green telephone,Ruth / Abel,Herb House counter,A modern phone appears among murky herb jars because the healer’s work requires contact with the outside world.,Closed systems adopt institutions selectively.,A ringing phone interrupts a doctrine argument and forces practical action.,"Ch. 2, PDF pp. 25–27."
Three birthdays,Family / county clerk,Paperwork scene,"Mother, father, grandmother, christening, and baptism records disagree about Tara’s birth date.",Identity requires proof people may not possess.,A clerk asks for one date while the family offers three stories.,"Ch. 2, PDF pp. 26–27."
Pencil shavings by year,Jonah,Bedroom / packing scene,Jonah catalogues years of pencil shavings while chaos fills the rest of the house.,Order itself becomes character.,A box found after Jonah leaves triggers music and study memories.,"Ch. 5, PDF p. 48."
Music became our language,Jonah / Mara,Night / bedroom,Choir recordings allow a quiet brother and sister to know each other without much speech.,Shared ritual creates intimacy.,Ambient music unlocks a silent optional scene rather than a dialogue wheel.,"Ch. 5, PDF pp. 48–49."
Tacos in the juicer,Jonah / Abel,Lunch banter,Jonah feeds three perfectly arranged tacos into Ruth’s tincture juicer to drown out a repeated lecture.,Absurd action can be resistance without open confrontation.,A family meal callback signals Jonah’s humor and fatigue.,"Ch. 5, PDF p. 52."
Honest dirt,Abel / Nora,Truck ride / clean house,Abel contrasts blackened work hands with the grandparents’ clean white carpet.,Work becomes moral identity.,"Mara can repeat, question, or reinterpret the phrase after a safe job in town.","Ch. 5, PDF pp. 53–57."
"Twine, boots, and the belt",Luke analogue / family,Breakfast after recovery,A catastrophic burn is retold as a funny story about baling twine and a proper belt.,Folklore can conceal trauma.,"The joke returns at supper, then the journal asks who actually put out the fire.","Ch. 7, PDF pp. 71–77."
The dog ordinance joke,Abel,Lunch before emergency,Abel jokes that officials limiting dog ownership would drown in rain without a roof.,Political humor precedes disaster.,"The same joke heard later may feel warm, ominous, or manipulative depending on context.","Ch. 7, PDF p. 71."
